基	cơ
埽	tảo
堂	đường
堃	khôn
堅	kiên
堆	đôi
堇	cận
堊	ác
堍	miễn
堙	nhân
堝	qua
堞	điệp
堠	hậu
堡	bảo
堤	đê
堤	chỉ
堦	giai
堪	kham
堯	nghiêu
堰	yển
報	báo
塘	đường
塚	trủng
塞	tắc
塟	táng
塡	điền
塢	ổ
塩	diêm
塲	tràng
塵	trần
塹	tiệm
塼	chuyên
塾	thục
塿	lũ
墀	trì
墁	mạn
境	cảnh
墅	thự
墉	dong
墊	điếm
墍	kí
墐	cận
墓	mộ
増	tăng
墜	truỵ
墝	sao
墟	khư
墠	thiện
墡	thiện
墦	phiền
墨	mặc
墩	đôn
墮	đoạ
壅	ủng
壇	đàn
壈	lẫm
壎	huân
壑	hác
壓	áp
壔	đảo
壕	hào
壖	nhuyên
壘	luỹ
壙	khoáng
壚	lư
壜	đàm
壞	hoại
壟	lũng
壤	nhưỡng
壩	bá
士	sĩ
壬	nhâm
壯	tráng
声	thanh
壳	xác
壹	nhất
壺	hồ
壻	tế
壼	khổn
壽	thọ
夂	tri
处	xứ
夊	truy
夏	hạ
夔	quỳ
夕	tịch
外	ngoại
夙	túc
多	đa
夜	dạ
够	cú
夢	mộng
夤	di
夥	khoã
大	đại
天	thiên
崋	hoa
崎	khi
崑	côn
徯	hề
徵	trưng
德	đức
托	thác
太	thái
夫	phu
夬	quái
夭	yêu
央	ương
失	thất
夲	bổn
夷	di
夸	khoa
夹	giáp
夾	giáp
奄	yểm
奇	kỳ
奈	nại
奉	phụng
奎	khuê
奏	tấu
奐	hoán
契	khế
奔	bôn
奕	dịch
套	sáo
奘	trang
奚	hề
奠	điện
奡	ngạo
奢	xa
奧	áo
奩	liêm
奪	đoạt
奭	thích
奮	phấn
女	nữ
奴	nô
奶	nãi
奸	gian
奼	xá
好	hảo
妁	chước
如	như
妃	phi
妄	vọng
妊	nhâm
妍	nghiên
妒	đố
妓	kĩ
妖	yêu
妗	cấm
妙	diệu
妝	trang
妞	nữu
妣	tỉ
妤	dư
妥	thoả
妨	phương
妬	đố
妮	ny
妯	trục
妲	đát
妺	muội
妻	thê
妾	thiếp
姆	mỗ
姊	tỉ
始	thuỷ
姍	san
姐	tả
姑	cô
姒	tự
姓	tính
委	uỷ
姘	phanh
姙	nhâm
姚	diêu
姜	khương
姝	xu
姞	cật
姣	giảo
姤	cấu
姥	mỗ
姦	gian
姨	di
姪	điệt
姬	cơ
姮	hằng
姱	khoa
姸	nghiên
姹	xá
姻	nhân
姿	tư
威	uy
娃	oa
娉	phinh
娌	lí
娑	sa
娓	vỉ
娘	nương
娛	ngu
娜	na
娟	quyên
娠	thần
娣	đễ
娥	nga
娩	vãn
娬	vũ
娶	thú
娼	xướng
婀	a
婁	lâu
婆	bà
婉	uyển
婕	tiệp
婚	hôn
婢	tì
婥	sước
婦	phụ
婪	lam
婭	á
婷	đình
婺	vụ
媒	môi
媚	mị
媛	viện
媟	tiết
媢	mạo
媧	oa
媲	bễ
媳	tức
媵	dắng
媸	xuy
媼	ảo
媽	mụ
媾	cấu
媿	quý
嫁	giá
嫂	tẩu
嫄	nguyên
嫉	tật
嫋	niệu
嫌	hiềm
嫏	lang
嫖	phiêu
嫗	ẩu
嫚	mạn
嫜	chương
嫠	li
嫡	đích
嫣	yên
嫦	thường
嫩	nộn
嫫	mô
嫵	vũ
嫺	nhàn
嬀	quy
嬃	tu
嬈	nhiêu
嬉	hi
嬋	thiền
嬌	kiều
嬍	mĩ
嬿	yến
孀	sương
孃	nương
孌	luyến
子	tử
孑	kiết
孓	quyết
孔	khổng
孕	dựng
字	tự
存	tồn
孚	phu
孛	bột
孜	tư
孝	hiếu
孟	mạnh
季	quý
孤	cô
孥	nô
孩	hài
孫	tôn
孰	thục
孱	sàn
孵	phu
孶	tư
學	học
孺	nhụ
孼	nghiệt
孽	nghiệt
孿	loan
宀	miên
宁	trữ
宂	nhũng
它	tha
宄	quỹ
宅	trạch
宇	vũ
守	thủ
安	an
宋	tống
完	hoàn
宏	hoành
宓	mật
宕	đãng
宗	tông
官	quan
宙	trụ
定	định
宛	uyển
宜	nghi
客	khách
宣	tuyên
室	thất
宥	hựu
宦	hoạn
宮	cung
宰	tể
害	hại
宴	yến
宵	tiêu
家	gia
寀	thái
寂	tịch
寃	oan
寄	kí
寅	dần
密	mật
寇	khấu
寉	hạc
富	phú
寐	mị
寒	hàn
寓	ngụ
寔	thật
寖	tẩm
寘	trí
寞	mịch
察	sát
寡	quả
寢	tẩm
寤	ngụ
寥	liêu
實	thật
寧	ninh
寨	trại
審	thẩm
寫	tả
寬	khoan
寮	liêu
寯	tuấn
寰	hoàn
寳	bảo
寵	sủng
寶	bảo
寸	thốn
寺	tự
対	đối
封	phong
専	chuyên
射	xạ
尅	khắc
將	tương
尉	uý
尉	uý
尊	tôn
尋	tầm
對	đối
導	đạo
小	tiểu
少	thiếu
彿	phất
往	vãng
怙	hỗ
怛	đát
悌	đễ
悍	hãn
悒	ấp
悔	hối
悖	bội
悚	tủng
悛	thuân
悝	khôi
悞	ngộ
悟	ngộ
尒	nhĩ
尖	tiêm
尙	thượng
尟	tiển
尢	uông
尤	vưu
尨	mang
尪	uông
尫	uông
尬	giới
就	tựu
尲	dam
尸	thi
尹	duẫn
尺	xích
尻	khào
尼	ni
尾	vĩ
尿	niệu
局	cục
屁	thí
居	cư
屆	giới
屈	khuất
届	giới
屋	ốc
屍	thi
屎	thỉ
屏	bình
屐	kịch
屑	tiết
展	triển
屙	a
屛	bình
屜	thế
屝	phỉ
屠	đồ
屢	lũ
屣	tỉ
層	tằng
履	lí
屧	tiệp
屨	lũ
屩	cược
屬	chúc
屭	hí
屮	triệt
屯	truân
山	san
屹	ngật
屺	dĩ
岌	ngập
岐	kỳ
岑	sầm
岔	xoá
岛	đảo
岡	cương
岢	khả
岣	cẩu
岧	thiều
岩	nham
岫	tụ
岬	giáp
岱	đại
岳	nhạc
岵	hỗ
岷	dân
岸	ngạn
峋	tuân
峒	đồng
峙	trì
峝	đỗng
峨	nga
峪	dục
峭	tiễu
峯	phong
峴	hiện
島	đảo
峻	tuấn
峽	hạp
崆	không
崇	sùng
崔	thôi
崖	nhai
崗	cương
崙	lôn
崚	lăng
崛	quật
崞	quách
崢	tranh
崤	hào
崦	yêm
崧	tung
崩	băng
崴	uy
崽	tể
嵆	kê
嵊	thặng
嵋	mi
嵌	khảm
嵎	ngu
嵐	lam
嵒	nham
嵕	tông
嵩	tung
嵫	tư
嵬	ngôi
嵯	tha
嶂	chướng
嶄	tiệm
嶇	khu
嶍	tập
嶒	tằng
嶓	ba
嶙	lân
嶠	kiệu
嶧	dịch
嶰	giải
嶷	nghi
嶸	vanh
嶺	lĩnh
嶼	tự
嶽	nhạc
巇	hi
巉	sàm
巋	vị
巍	nguy
巒	loan
巓	điên
巖	nham
川	xuyên
州	châu
巡	tuần
巢	sào
工	công
左	tả
巧	xảo
戱	hí
戲	hí
抬	sĩ
抱	bão
抵	để
效	hiệu
敉	mị
敎	giáo
敏	mẫn
救	cứu
巨	cự
巫	vu
差	soa
己	kỉ
已	dĩ
巳	tị
巴	ba
巵	chi
巷	hạng
巽	tốn
巾	cân
巿	thị
帀	táp
布	bố
帆	phàm
希	hi
帑	nô
帓	mạt
帔	bí
帕	mạt
帖	thiếp
帘	liêm
帙	trật
帚	trửu
帛	bạch
帝	đế
帢	kháp
帥	suất
帨	thuế
師	sư
席	tịch
帲	bình
帳	trướng
帵	oan
帶	đái
帷	duy
常	thường
帽	mạo
幀	tránh
幃	vi
幄	ác
幅	phúc
幌	hoảng
幔	mạn
幕	mạc
幗	quắc
幘	trách
幛	chướng
幞	phốc
幟	xí
幡	phiên
幢	chàng
幣	tệ
幧	thiêu
幨	xiêm
