棣 lệ
皙 tích
敕 sắc
鶒 xích
蜤 蜤
剌 lạt
柫 柫
樓 lâu
樻 樻
桃 đào
棑 棑
賴 lại
欶 欶
敕 sắc
惁 惁
賴 lại
柚 dữu
柛 柛
梬 梬
橚 橚
棩 棩
本 bản
杠 giang
桓 hoàn
檽 檽
槓 cống
櫌 ưu
栭 栭
欞 linh
櫺 linh
樗 sư
檑 lôi
栖 tê
杅 vu
極 cực
杯 bôi
檷 檷
枰 bình
柸 柸
檦 檦
桮 bôi
枉 uổng
櫮 櫮
梇 梇
榞 榞
櫪 lịch
榗 榗
桎 chất
杆 can
橄 cảm
梗 ngạnh
栦 栦
椏 nha
柰 nại
枟 枟
欐 lệ
梧 ngô
杇 ô
杬 杬
桭 桭
朾 朾
桏 桏
栵 栵
柯 kha
柄 bính
柘 chá
韋 vi
梪 梪
楅 楅
翉 翉
椓 trạc
枙 枙
枅 kê
橛 quyết
杌 ngột
榎 giả
枒 nha
桱 桱
枑 hộ
朽 hủ
舝 hạt
檟 giả
標 tiêu
槱 dửu
橝 橝
橿 橿
橡 tượng
桷 giác
槲 hộc
檞 檞
檐 diêm
李 lí
杍 杍
槂 槂
櫯 櫯
杻 nữu
橘 quất
楙 mậu
楺 楺
极 cực
桶 dũng
栘 di
杼 trữ
梃 đĩnh
梴 梴
楗 楗
橢 thỏa
樄 樄
桅 ngôi
杴 杴
楈 楈
楑 楑
橙 tranh
揧 揧
榤 kiệt
欃 sàm
楹 doanh
凳 đắng
櫓 lỗ
枘 nhuế
榷 các
賚 lãi
栴 chiên
柎 phu
桼 桼
椎 trùy
樵 tiều
榫 chuẩn
檇 tuy
鶆 鶆
柃 柃
猌 猌
櫼 櫼
枔 枔
棯 棯
槍 thương
梒 梒
杵 xử
枚 mai
椥 椥
敕 sắc
樇 樇
檜 cối
棆 棆
梌 梌
栓 xuyên
楩 tiện
榆 du
檢 kiểm
榆 du
杚 杚
郲 郲
來 lai
桽 桽
杹 杹
柂 柂
柞 tạc
梅 mai
檎 cầm
朼 朼
杺 杺
栒 栒
栺 栺
杝 杝
椈 椈
柲 柲
榓 榓
杓 tiêu
构 cấu
枃 枃
杓 tiêu
枃 枃
枇 tì
楷 giai
梐 bệ
枸 cẩu
枹 phu
枻 duệ
楪 楪
杶 suân
杽 杽
韞 uẩn
韜 thao
韗 韗
韎 韎
韥 韥
韟 韟
楔 tiết
韍 phất
梆 bang
槥 tuệ
椿 xuân
榛 trăn
楱 楱
棒 bổng
樁 thung
棈 棈
樍 樍
榡 榡
韖 韖
郼 郼
枎 枎
韐 韐
槻 槻
韘 thiếp
韌 nhận
韔 sướng
韡 vĩ
韝 câu
韣 韣
韞 uẩn
韕 韕
杏 hạnh
梋 梋
枳 chỉ
桯 桯
梠 lữ
柺 柺
柷 chúc
枴 quải
枵 hiêu
橾 橾
樿 thiện
椵 椵
枴 quải
楫 tiếp
椻 椻
欘 欘
樨 tê
榍 榍
檻 hạm
栮 栮
棷 棷
椰 da
椐 cư
桾 桾
櫃 quỹ
榧 phỉ
槢 槢
梫 梫
框 khuông
櫂 trạo
樛 cù
栩 hủ
柌 柌
檻 hạm
棖 tranh
樼 樼
柩 cữu
柅 柅
榪 榪
梛 梛
檉 sanh
樞 xu
柜 cử
梮 梮
榐 榐
杞 kỉ
欖 lãm
棤 棤
模 mô
欗 lan
檬 mông
栱 củng
欉 欉
樸 phác
楢 do
欂 bạc
樣 dạng
榚 榚
檥 nghĩ
檨 檨
橏 橏
樥 樥
楛 hộ
栚 栚
楉 楉
樠 man
橫 hoành
槿 cận
櫹 櫹
柑 cam
棋 kỳ
樺 hoa
椹 châm
檴 檴
榙 榙
槆 槆
槎 tra
權 quyền
榵 榵
櫙 櫙
栟 kiên
構 cấu
椪 椪
橏 橏
槽 tào
樽 tôn
槏 槏
札 trát
梤 梤
蚻 蚻
椯 椯
榿 榿
欈 欈
梣 梣
想 tưởng
柮 đốt
紮 trát
櫞 duyên
櫟 lịch
機 cơ
柪 柪
朻 朻
梉 梉
椽 chuyên
欚 欚
